program_path,revenue,quantity,null_hits,count_of_order
absent > SEM > Natural Search: Google > Natural Search: Bing > SEO,0.0,0,0,1
absent > Email > Social > SEM,0.0,0,0,1
SEO > Email > Display > Social > Display > SEM,0.0,0,0,1
Display > SEM > Natural Search: Google > Display > SEO,0.0,0,0,1
Natural Search: Yahoo! > Email > Natural Search: Yahoo! > Display,0.0,0,0,1
Display > Natural Search: Google > SEO > Natural Search: Google > SEO > Natural Search: Google,0.0,0,0,1
SEM > Email > Natural Search: Google > SEM > Display,0.0,0,0,1
absent > Display > SEM > Natural Search: Google > SEM > Display,0.0,0,0,1
SEO > Natural Search: DuckDuckGo > SEO,0.0,0,0,1
SEM > absent > Natural Search: Google > SEM > absent > Display > absent > Display,0.0,0,0,1
absent > Natural Search: Google > SEO > SEM > SEO > SEM > SEO > SEM,0.0,0,0,1
SEM > SEO > Email > Natural Search: Google > SEM > Display,0.0,0,0,1
SEO > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEO > Natural Search: Google > SEO,0.0,0,0,1
SEO > Email > SEM > SEO,0.0,0,0,1
Natural Search: Bing > SEM > Natural Search: Bing > Social > Natural Search: Bing,0.0,0,0,1
Natural Search: Bing > Social > SEM > Natural Search: Google,0.0,0,0,1
SEM > SEO > SEM > SEO > SEM > Natural Search: Google,0.0,0,0,1
absent > SEO > Natural Search: Google > SEO > Natural Search: Google > SEO,0.0,0,0,1
absent > Email > SEM > Display > SEM > Email > SEM > Display > SEM,0.0,0,0,1
Natural Search: Bing > Email > SEM,0.0,0,0,2
Natural Search: Google > Email > SEM > Natural Search: Google > Social > Natural Search: Google,0.0,0,0,1
Display > absent > Display > Natural Search: Google > SEM,0.0,0,0,1
SEM > Natural Search: Yahoo! > SEM > SEO > SEM > SEO > SEM > Natural Search: Yahoo! > SEM > Natural Search: Yahoo! > SEM > Natural Search: Yahoo! > SEM,0.0,0,0,1
Email > SEM > Email > SEM > SEO > Natural Search: Google > SEO > Natural Search: Google > Email > SEO > SEM,0.0,0,0,1
SEM > Natural Search: Google > SEO > Email > SEM,0.0,0,0,1
